tx	gene_id	Mycangia_BH1	Mycangia_BH2	Mycangia_BH3	Mycangia_BH4	Mycangia_BH5	Mycangia_EF1	Mycangia_EF2	Mycangia_EF3	Mycangia_EF4	Mycangia_EP1	Mycangia_EP2	Mycangia_EP3	Mycangia_EP4	Mycangia_LP2	Mycangia_LP3	Mycangia_LP4
CEP52_000011-T1_mrna	gene-CEP52_000011	1032.298	1036.439	1032.43	1047.442	1036.267	1031.311	1034.799	1030.283	1034.9	1037.281	1036.005	1038.959	1039.984	1034.255	1044.819	1032.312
CEP52_000012-T1_mrna	gene-CEP52_000012	1608.298	1612.439	1608.43	1623.442	1612.267	1607.311	1610.799	1606.283	1610.9	1613.281	1612.005	1614.959	1615.984	1610.255	1620.819	1608.312
CEP52_000013-T1_mrna	gene-CEP52_000013	2568.298	2572.439	2568.43	2583.442	2572.267	2567.311	2570.799	2566.283	2570.9	2573.281	2572.005	2574.959	2575.984	2570.255	2580.819	2568.312
CEP52_000014-T1_mrna	gene-CEP52_000014	1032.298	1036.439	1032.43	1047.442	1036.267	1031.311	1034.799	1030.283	1034.9	1037.281	1036.005	1038.959	1039.984	1034.255	1044.819	1032.312
CEP52_000015-T1_mrna	gene-CEP52_000015	363.376	367.485	363.538	378.442	367.368	362.623	365.799	361.379	365.9	368.281	367.4	369.959	370.984	365.255	375.819	363.353
CEP52_000016-T1_mrna	gene-CEP52_000016	1074.298	1078.439	1074.43	1089.442	1078.267	1073.311	1076.799	1072.283	1076.9	1079.281	1078.005	1080.959	1081.984	1076.255	1086.819	1074.312
CEP52_000017-T1_mrna	gene-CEP52_000017	585.298	589.439	585.43	600.442	589.267	584.311	587.799	583.283	587.9	590.281	589.005	591.959	592.984	587.255	597.819	585.312
CEP52_000018-T1_mrna	gene-CEP52_000018	375.375	379.478	375.481	390.442	379.315	374.623	377.799	373.283	377.9	380.281	379.005	381.959	382.984	377.255	387.819	375.312
CEP52_000019-T1_mrna	gene-CEP52_000019	1035.298	1039.439	1035.43	1050.442	1039.267	1034.311	1037.799	1033.283	1037.9	1040.281	1039.005	1041.959	1042.984	1037.255	1047.819	1035.312
CEP52_000020-T1_mrna	gene-CEP52_000020	1233.298	1237.439	1233.43	1248.442	1237.267	1232.311	1235.799	1231.283	1235.9	1238.281	1237.005	1239.959	1240.984	1235.255	1245.819	1233.312
CEP52_000021-T1_mrna	gene-CEP52_000021	300.552	304.629	300.801	315.557	304.468	299.978	302.799	298.632	302.9	305.281	304.4	306.959	307.984	302.255	312.819	300.572
CEP52_000022-T1_mrna	gene-CEP52_000022	244.135	248.069	244.405	258.82	247.927	244.56	247.154	242.443	245.9	248.281	247.4	250.471	252.194	245.255	255.819	244.013
CEP52_000023-T1_mrna	gene-CEP52_000023	74.992	76.998	75.261	82.043	75.199	75.35	79.086	73.301	81.54	75.468	77.406	79.138	80.047	77.701	78.496	73.648
CEP52_000024-T1_mrna	gene-CEP52_000024	3255.298	3259.439	3255.43	3270.442	3259.267	3254.311	3257.799	3253.283	3257.9	3260.281	3259.005	3261.959	3262.984	3257.255	3267.819	3255.312
CEP52_000025-T1_mrna	gene-CEP52_000025	2115.298	2119.439	2115.43	2130.442	2119.267	2114.311	2117.799	2113.283	2117.9	2120.281	2119.005	2121.959	2122.984	2117.255	2127.819	2115.312
CEP52_000026-T1_mrna	gene-CEP52_000026	954.298	958.439	954.43	969.442	958.267	953.311	956.799	952.283	956.9	959.281	958.005	960.959	961.984	956.255	966.819	954.312
CEP52_000027-T1_mrna	gene-CEP52_000027	2169.298	2173.439	2169.43	2184.442	2173.267	2168.311	2171.799	2167.283	2171.9	2174.281	2173.005	2175.959	2176.984	2171.255	2181.819	2169.312
CEP52_000028-T1_mrna	gene-CEP52_000028	1617.298	1621.439	1617.43	1632.442	1621.267	1616.311	1619.799	1615.283	1619.9	1622.281	1621.005	1623.959	1624.984	1619.255	1629.819	1617.312
CEP52_000029-T1_mrna	gene-CEP52_000029	483.326	487.439	483.43	498.442	487.284	482.311	485.799	481.283	485.9	488.281	487.005	489.959	490.984	485.255	495.819	483.312
CEP52_000030-T1_mrna	gene-CEP52_000030	729.298	733.439	729.43	744.442	733.267	728.311	731.799	727.283	731.9	734.281	733.005	735.959	736.984	731.255	741.819	729.312
CEP52_000031-T1_mrna	gene-CEP52_000031	106.446	109.436	107.209	116.257	107.779	107.305	109.276	105.709	103.875	109.226	108.962	111.806	112.222	115.109	112.189	105.694
CEP52_000032-T1_mrna	gene-CEP52_000032	130.128	133.402	130.854	141.49	132.218	130.671	132.764	128.785	130.229	133.64	131.975	135.832	136.998	141.259	136.487	129.622
CEP52_000033-T1_mrna	gene-CEP52_000033	555.326	559.439	555.43	570.442	559.267	554.311	557.799	553.283	557.9	560.281	559.005	561.959	562.984	557.255	567.819	555.312
CEP52_000034-T1_mrna	gene-CEP52_000034	1398.298	1402.439	1398.43	1413.442	1402.267	1397.311	1400.799	1396.283	1400.9	1403.281	1402.005	1404.959	1405.984	1400.255	1410.819	1398.312
CEP52_000035-T1_mrna	gene-CEP52_000035	2019.298	2023.439	2019.43	2034.442	2023.267	2018.311	2021.799	2017.283	2021.9	2024.281	2023.005	2025.959	2026.984	2021.255	2031.819	2019.312
CEP52_000036-T1_mrna	gene-CEP52_000036	2541.298	2545.439	2541.43	2556.442	2545.267	2540.311	2543.799	2539.283	2543.9	2546.281	2545.005	2547.959	2548.984	2543.255	2553.819	2541.312
CEP52_000037-T1_mrna	gene-CEP52_000037	1818.298	1822.439	1818.43	1833.442	1822.267	1817.311	1820.799	1816.283	1820.9	1823.281	1822.005	1824.959	1825.984	1820.255	1830.819	1818.312
CEP52_000038-T1_mrna	gene-CEP52_000038	1296.298	1300.439	1296.43	1311.442	1300.267	1295.311	1298.799	1294.283	1298.9	1301.281	1300.005	1302.959	1303.984	1298.255	1308.819	1296.312
CEP52_000039-T1_mrna	gene-CEP52_000039	1353.298	1357.439	1353.43	1368.442	1357.267	1352.311	1355.799	1351.283	1355.9	1358.281	1357.005	1359.959	1360.984	1355.255	1365.819	1353.312
CEP52_000040-T1_mrna	gene-CEP52_000040	1572.298	1576.439	1572.43	1587.442	1576.267	1571.311	1574.799	1570.283	1574.9	1577.281	1576.005	1578.959	1579.984	1574.255	1584.819	1572.312
CEP52_000041-T1_mrna	gene-CEP52_000041	348.411	352.527	348.63	363.443	352.398	347.832	350.799	346.442	350.9	353.281	352.4	354.959	355.984	350.255	360.819	348.355
CEP52_000042-T1_mrna	gene-CEP52_000042	366.375	370.485	366.528	381.442	370.339	365.623	368.799	364.373	368.9	371.281	370.4	372.959	373.984	368.255	378.819	366.315
CEP52_000043-T1_mrna	gene-CEP52_000043	7752.298	7756.439	7752.43	7767.442	7756.267	7751.311	7754.799	7750.283	7754.9	7757.281	7756.005	7758.959	7759.984	7754.255	7764.819	7752.312
CEP52_000044-T1_mrna	gene-CEP52_000044	1461.298	1465.439	1461.43	1476.442	1465.267	1460.311	1463.799	1459.283	1463.9	1466.281	1465.005	1467.959	1468.984	1463.255	1473.819	1461.312
CEP52_000045-T1_mrna	gene-CEP52_000045	1497.298	1501.439	1497.43	1512.442	1501.267	1496.311	1499.799	1495.283	1499.9	1502.281	1501.005	1503.959	1504.984	1499.255	1509.819	1497.312
CEP52_000046-T1_mrna	gene-CEP52_000046	174.239	177.981	174.887	187.745	177.583	174.549	177.245	172.268	178.097	178.874	176.614	180.849	182.981	184.955	183.822	174.131
CEP52_000047-T1_mrna	gene-CEP52_000047	2877.298	2881.439	2877.43	2892.442	2881.267	2876.311	2879.799	2875.283	2879.9	2882.281	2881.005	2883.959	2884.984	2879.255	2889.819	2877.312
CEP52_000048-T1_mrna	gene-CEP52_000048	708.298	712.439	708.43	723.442	712.267	707.311	710.799	706.283	710.9	713.281	712.005	714.959	715.984	710.255	720.819	708.312
CEP52_000049-T1_mrna	gene-CEP52_000049	678.298	682.439	678.43	693.442	682.267	677.311	680.799	676.283	680.9	683.281	682.005	684.959	685.984	680.255	690.819	678.312
CEP52_000050-T1_mrna	gene-CEP52_000050	1227.298	1231.439	1227.43	1242.442	1231.267	1226.311	1229.799	1225.283	1229.9	1232.281	1231.005	1233.959	1234.984	1229.255	1239.819	1227.312
CEP52_000051-T1_mrna	gene-CEP52_000051	801.298	805.439	801.43	816.442	805.267	800.311	803.799	799.283	803.9	806.281	805.005	807.959	808.984	803.255	813.819	801.312
CEP52_000052-T1_mrna	gene-CEP52_000052	381.374	385.454	381.465	396.442	385.315	380.623	383.799	379.283	383.9	386.281	385.005	387.959	388.984	383.255	393.819	381.312
CEP52_000053-T1_mrna	gene-CEP52_000053	1155.298	1159.439	1155.43	1170.442	1159.267	1154.311	1157.799	1153.283	1157.9	1160.281	1159.005	1161.959	1162.984	1157.255	1167.819	1155.312
CEP52_000054-T1_mrna	gene-CEP52_000054	1446.298	1450.439	1446.43	1461.442	1450.267	1445.311	1448.799	1444.283	1448.9	1451.281	1450.005	1452.959	1453.984	1448.255	1458.819	1446.312
CEP52_000055-T1_mrna	gene-CEP52_000055	214.718	218.675	215.086	229.084	218.369	215.392	218.274	213.018	218.775	218.684	217.654	220.766	223.219	219.284	225.819	214.582
CEP52_000056-T1_mrna	gene-CEP52_000056	88.995	91.58	89.574	97.424	89.909	89.353	92.14	88.298	93.441	91.357	90.876	93.803	96.197	95.098	94.44	88.047
CEP52_000057-T1_mrna	gene-CEP52_000057	831.298	835.439	831.43	846.442	835.267	830.311	833.799	829.283	833.9	836.281	835.005	837.959	838.984	833.255	843.819	831.312
CEP52_000058-T1_mrna	gene-CEP52_000058	966.298	970.439	966.43	981.442	970.267	965.311	968.799	964.283	968.9	971.281	970.005	972.959	973.984	968.255	978.819	966.312
CEP52_000059-T1_mrna	gene-CEP52_000059	1359.298	1363.439	1359.43	1374.442	1363.267	1358.311	1361.799	1357.283	1361.9	1364.281	1363.005	1365.959	1366.984	1361.255	1371.819	1359.312
CEP52_000060-T1_mrna	gene-CEP52_000060	3108.298	3112.439	3108.43	3123.442	3112.267	3107.311	3110.799	3106.283	3110.9	3113.281	3112.005	3114.959	3115.984	3110.255	3120.819	3108.312
CEP52_000061-T1_mrna	gene-CEP52_000061	957.298	961.439	957.43	972.442	961.267	956.311	959.799	955.283	959.9	962.281	961.005	963.959	964.984	959.255	969.819	957.312
CEP52_000062-T1_mrna	gene-CEP52_000062	1008.298	1012.439	1008.43	1023.442	1012.267	1007.311	1010.799	1006.283	1010.9	1013.281	1012.005	1014.959	1015.984	1010.255	1020.819	1008.312
CEP52_000063-T1_mrna	gene-CEP52_000063	5469.298	5473.439	5469.43	5484.442	5473.267	5468.311	5471.799	5467.283	5471.9	5474.281	5473.005	5475.959	5476.984	5471.255	5481.819	5469.312
CEP52_000064-T1_mrna	gene-CEP52_000064	417.326	421.439	417.431	432.442	421.313	416.311	419.799	415.283	419.9	422.281	421.005	423.959	424.984	419.255	429.819	417.312
CEP52_000065-T1_mrna	gene-CEP52_000065	3105.298	3109.439	3105.43	3120.442	3109.267	3104.311	3107.799	3103.283	3107.9	3110.281	3109.005	3111.959	3112.984	3107.255	3117.819	3105.312
CEP52_000066-T1_mrna	gene-CEP52_000066	1806.298	1810.439	1806.43	1821.442	1810.267	1805.311	1808.799	1804.283	1808.9	1811.281	1810.005	1812.959	1813.984	1808.255	1818.819	1806.312
CEP52_000067-T1_mrna	gene-CEP52_000067	2091.298	2095.439	2091.43	2106.442	2095.267	2090.311	2093.799	2089.283	2093.9	2096.281	2095.005	2097.959	2098.984	2093.255	2103.819	2091.312
CEP52_000068-T1_mrna	gene-CEP52_000068	1767.298	1771.439	1767.43	1782.442	1771.267	1766.311	1769.799	1765.283	1769.9	1772.281	1771.005	1773.959	1774.984	1769.255	1779.819	1767.312
CEP52_000069-T1_mrna	gene-CEP52_000069	194.244	198.214	194.825	208.395	198.044	194.73	197.274	192.69	199.097	198.824	196.874	200.471	202.219	205.954	204.819	194.237
CEP52_000070-T1_mrna	gene-CEP52_000070	1698.298	1702.439	1698.43	1713.442	1702.267	1697.311	1700.799	1696.283	1700.9	1703.281	1702.005	1704.959	1705.984	1700.255	1710.819	1698.312
CEP52_000071-T1_mrna	gene-CEP52_000071	330.437	334.554	330.705	345.501	334.401	329.883	332.799	328.47	332.9	335.281	334.4	336.959	337.984	332.255	342.819	330.384
CEP52_000072-T1_mrna	gene-CEP52_000072	399.338	403.449	399.453	414.442	403.315	398.311	401.799	397.283	401.9	404.281	403.005	405.959	406.984	401.255	411.819	399.312
CEP52_000073-T1_mrna	gene-CEP52_000073	3825.298	3829.439	3825.43	3840.442	3829.267	3824.311	3827.799	3823.283	3827.9	3830.281	3829.005	3831.959	3832.984	3827.255	3837.819	3825.312
CEP52_000074-T1_mrna	gene-CEP52_000074	471.326	475.439	471.43	486.442	475.284	470.311	473.799	469.283	473.9	476.281	475.005	477.959	478.984	473.255	483.819	471.312
CEP52_000075-T1_mrna	gene-CEP52_000075	402.336	406.447	402.446	417.442	406.315	401.311	404.799	400.283	404.9	407.281	406.005	408.959	409.984	404.255	414.819	402.312
CEP52_000076-T1_mrna	gene-CEP52_000076	996.298	1000.439	996.43	1011.442	1000.267	995.311	998.799	994.283	998.9	1001.281	1000.005	1002.959	1003.984	998.255	1008.819	996.312
CEP52_000077-T1_mrna	gene-CEP52_000077	741.298	745.439	741.43	756.442	745.267	740.311	743.799	739.283	743.9	746.281	745.005	747.959	748.984	743.255	753.819	741.312
CEP52_000078-T1_mrna	gene-CEP52_000078	1434.298	1438.439	1434.43	1449.442	1438.267	1433.311	1436.799	1432.283	1436.9	1439.281	1438.005	1440.959	1441.984	1436.255	1446.819	1434.312
CEP52_000079-T1_mrna	gene-CEP52_000079	185.633	189.527	186.212	199.531	189.224	186.012	189.218	183.809	190.097	190.191	188.288	192.071	194.057	196.955	195.819	185.599
CEP52_000080-T1_mrna	gene-CEP52_000080	1248.298	1252.439	1248.43	1263.442	1252.267	1247.311	1250.799	1246.283	1250.9	1253.281	1252.005	1254.959	1255.984	1250.255	1260.819	1248.312
CEP52_000081-T1_mrna	gene-CEP52_000081	1560.298	1564.439	1560.43	1575.442	1564.267	1559.311	1562.799	1558.283	1562.9	1565.281	1564.005	1566.959	1567.984	1562.255	1572.819	1560.312
CEP52_000082-T1_mrna	gene-CEP52_000082	84.342	86.671	84.714	92.289	84.978	84.608	87.405	83.308	87.617	86.321	85.716	88.953	91.168	89.341	89.258	83.1
CEP52_000083-T1_mrna	gene-CEP52_000083	537.326	541.439	537.43	552.442	541.267	536.311	539.799	535.283	539.9	542.281	541.005	543.959	544.984	539.255	549.819	537.312
CEP52_000084-T1_mrna	gene-CEP52_000084	975.298	979.439	975.43	990.442	979.267	974.311	977.799	973.283	977.9	980.281	979.005	981.959	982.984	977.255	987.819	975.312
CEP52_000085-T1_mrna	gene-CEP52_000085	1578.298	1582.439	1578.43	1593.442	1582.267	1577.311	1580.799	1576.283	1580.9	1583.281	1582.005	1584.959	1585.984	1580.255	1590.819	1578.312
CEP52_000086-T1_mrna	gene-CEP52_000086	1362.298	1366.439	1362.43	1377.442	1366.267	1361.311	1364.799	1360.283	1364.9	1367.281	1366.005	1368.959	1369.984	1364.255	1374.819	1362.312
CEP52_000087-T1_mrna	gene-CEP52_000087	2121.298	2125.439	2121.43	2136.442	2125.267	2120.311	2123.799	2119.283	2123.9	2126.281	2125.005	2127.959	2128.984	2123.255	2133.819	2121.312
CEP52_000088-T1_mrna	gene-CEP52_000088	1344.298	1348.439	1344.43	1359.442	1348.267	1343.311	1346.799	1342.283	1346.9	1349.281	1348.005	1350.959	1351.984	1346.255	1356.819	1344.312
CEP52_000089-T1_mrna	gene-CEP52_000089	441.326	445.439	441.43	456.442	445.285	440.311	443.799	439.283	443.9	446.281	445.005	447.959	448.984	443.255	453.819	441.312
CEP52_000090-T1_mrna	gene-CEP52_000090	1188.298	1192.439	1188.43	1203.442	1192.267	1187.311	1190.799	1186.283	1190.9	1193.281	1192.005	1194.959	1195.984	1190.255	1200.819	1188.312
CEP52_000091-T1_mrna	gene-CEP52_000091	270.791	274.815	271.083	285.655	274.684	270.498	274.154	268.889	272.9	275.281	274.4	276.959	277.984	272.255	282.819	270.685
CEP52_000092-T1_mrna	gene-CEP52_000092	729.298	733.439	729.43	744.442	733.267	728.311	731.799	727.283	731.9	734.281	733.005	735.959	736.984	731.255	741.819	729.312
CEP52_000093-T1_mrna	gene-CEP52_000093	504.326	508.439	504.43	519.442	508.267	503.311	506.799	502.283	506.9	509.281	508.005	510.959	511.984	506.255	516.819	504.312
CEP52_000094-T1_mrna	gene-CEP52_000094	1401.298	1405.439	1401.43	1416.442	1405.267	1400.311	1403.799	1399.283	1403.9	1406.281	1405.005	1407.959	1408.984	1403.255	1413.819	1401.312
CEP52_000095-T1_mrna	gene-CEP52_000095	564.326	568.439	564.43	579.442	568.267	563.311	566.799	562.283	566.9	569.281	568.005	570.959	571.984	566.255	576.819	564.312
CEP52_000096-T1_mrna	gene-CEP52_000096	426.326	430.439	426.43	441.442	430.286	425.311	428.799	424.283	428.9	431.281	430.005	432.959	433.984	428.255	438.819	426.312
CEP52_000097-T1_mrna	gene-CEP52_000097	804.298	808.439	804.43	819.442	808.267	803.311	806.799	802.283	806.9	809.281	808.005	810.959	811.984	806.255	816.819	804.312
CEP52_000098-T1_mrna	gene-CEP52_000098	1521.298	1525.439	1521.43	1536.442	1525.267	1520.311	1523.799	1519.283	1523.9	1526.281	1525.005	1527.959	1528.984	1523.255	1533.819	1521.312
CEP52_000099-T1_mrna	gene-CEP52_000099	1068.298	1072.439	1068.43	1083.442	1072.267	1067.311	1070.799	1066.283	1070.9	1073.281	1072.005	1074.959	1075.984	1070.255	1080.819	1068.312
CEP52_000100-T1_mrna	gene-CEP52_000100	74.992	76.998	75.261	82.043	75.199	75.35	79.086	73.301	81.54	75.468	77.406	79.138	80.047	77.701	78.496	73.648
CEP52_000101-T1_mrna	gene-CEP52_000101	969.298	973.439	969.43	984.442	973.267	968.311	971.799	967.283	971.9	974.281	973.005	975.959	976.984	971.255	981.819	969.312
CEP52_000102-T1_mrna	gene-CEP52_000102	375.375	379.478	375.481	390.442	379.315	374.623	377.799	373.283	377.9	380.281	379.005	381.959	382.984	377.255	387.819	375.312
CEP52_000103-T1_mrna	gene-CEP52_000103	1650.298	1654.439	1650.43	1665.442	1654.267	1649.311	1652.799	1648.283	1652.9	1655.281	1654.005	1656.959	1657.984	1652.255	1662.819	1650.312
CEP52_000104-T1_mrna	gene-CEP52_000104	924.298	928.439	924.43	939.442	928.267	923.311	926.799	922.283	926.9	929.281	928.005	930.959	931.984	926.255	936.819	924.312
CEP52_000105-T1_mrna	gene-CEP52_000105	1188.298	1192.439	1188.43	1203.442	1192.267	1187.311	1190.799	1186.283	1190.9	1193.281	1192.005	1194.959	1195.984	1190.255	1200.819	1188.312
CEP52_000106-T1_mrna	gene-CEP52_000106	900.298	904.439	900.43	915.442	904.267	899.311	902.799	898.283	902.9	905.281	904.005	906.959	907.984	902.255	912.819	900.312
CEP52_000107-T1_mrna	gene-CEP52_000107	194.244	198.214	194.825	208.395	198.044	194.73	197.274	192.69	199.097	198.824	196.874	200.471	202.219	205.954	204.819	194.237
CEP52_000108-T1_mrna	gene-CEP52_000108	591.298	595.439	591.43	606.442	595.267	590.311	593.799	589.283	593.9	596.281	595.005	597.959	598.984	593.255	603.819	591.312
CEP52_000109-T1_mrna	gene-CEP52_000109	843.298	847.439	843.43	858.442	847.267	842.311	845.799	841.283	845.9	848.281	847.005	849.959	850.984	845.255	855.819	843.312
CEP52_000110-T1_mrna	gene-CEP52_000110	3069.298	3073.439	3069.43	3084.442	3073.267	3068.311	3071.799	3067.283	3071.9	3074.281	3073.005	3075.959	3076.984	3071.255	3081.819	3069.312
CEP52_000111-T1_mrna	gene-CEP52_000111	2244.298	2248.439	2244.43	2259.442	2248.267	2243.311	2246.799	2242.283	2246.9	2249.281	2248.005	2250.959	2251.984	2246.255	2256.819	2244.312
CEP52_000112-T1_mrna	gene-CEP52_000112	1128.298	1132.439	1128.43	1143.442	1132.267	1127.311	1130.799	1126.283	1130.9	1133.281	1132.005	1134.959	1135.984	1130.255	1140.819	1128.312
CEP52_000113-T1_mrna	gene-CEP52_000113	426.326	430.439	426.43	441.442	430.286	425.311	428.799	424.283	428.9	431.281	430.005	432.959	433.984	428.255	438.819	426.312
CEP52_000114-T1_mrna	gene-CEP52_000114	2910.298	2914.439	2910.43	2925.442	2914.267	2909.311	2912.799	2908.283	2912.9	2915.281	2914.005	2916.959	2917.984	2912.255	2922.819	2910.312
CEP52_000115-T1_mrna	gene-CEP52_000115	1485.298	1489.439	1485.43	1500.442	1489.267	1484.311	1487.799	1483.283	1487.9	1490.281	1489.005	1491.959	1492.984	1487.255	1497.819	1485.312
CEP52_000116-T1_mrna	gene-CEP52_000116	57.239	58.995	57.648	62.516	56.805	57.449	60.933	55.95	57.774	57.792	60.526	59.968	59.404	58.291	55.847	55.991
CEP52_000117-T1_mrna	gene-CEP52_000117	2442.298	2446.439	2442.43	2457.442	2446.267	2441.311	2444.799	2440.283	2444.9	2447.281	2446.005	2448.959	2449.984	2444.255	2454.819	2442.312
CEP52_000118-T1_mrna	gene-CEP52_000118	1128.298	1132.439	1128.43	1143.442	1132.267	1127.311	1130.799	1126.283	1130.9	1133.281	1132.005	1134.959	1135.984	1130.255	1140.819	1128.312
CEP52_000119-T1_mrna	gene-CEP52_000119	1311.298	1315.439	1311.43	1326.442	1315.267	1310.311	1313.799	1309.283	1313.9	1316.281	1315.005	1317.959	1318.984	1313.255	1323.819	1311.312
CEP52_000120-T1_mrna	gene-CEP52_000120	1305.298	1309.439	1305.43	1320.442	1309.267	1304.311	1307.799	1303.283	1307.9	1310.281	1309.005	1311.959	1312.984	1307.255	1317.819	1305.312
CEP52_000121-T1_mrna	gene-CEP52_000121	66.061	67.777	66.284	72.068	65.755	66.485	68.132	64.161	69.704	66.544	68.745	69.129	68.853	68.093	67.185	64.824
CEP52_000122-T1_mrna	gene-CEP52_000122	789.298	793.439	789.43	804.442	793.267	788.311	791.799	787.283	791.9	794.281	793.005	795.959	796.984	791.255	801.819	789.312
CEP52_000123-T1_mrna	gene-CEP52_000123	885.298	889.439	885.43	900.442	889.267	884.311	887.799	883.283	887.9	890.281	889.005	891.959	892.984	887.255	897.819	885.312
CEP52_000124-T1_mrna	gene-CEP52_000124	132.798	136.12	133.562	144.285	134.985	133.089	135.613	131.392	133.201	136.419	134.628	138.553	139.546	143.955	139.345	132.324
CEP52_000125-T1_mrna	gene-CEP52_000125	1005.298	1009.439	1005.43	1020.442	1009.267	1004.311	1007.799	1003.283	1007.9	1010.281	1009.005	1011.959	1012.984	1007.255	1017.819	1005.312
CEP52_000126-T1_mrna	gene-CEP52_000126	621.298	625.439	621.43	636.442	625.267	620.311	623.799	619.283	623.9	626.281	625.005	627.959	628.984	623.255	633.819	621.312
CEP52_000127-T1_mrna	gene-CEP52_000127	438.326	442.439	438.43	453.442	442.285	437.311	440.799	436.283	440.9	443.281	442.005	444.959	445.984	440.255	450.819	438.312
CEP52_000128-T1_mrna	gene-CEP52_000128	1530.298	1534.439	1530.43	1545.442	1534.267	1529.311	1532.799	1528.283	1532.9	1535.281	1534.005	1536.959	1537.984	1532.255	1542.819	1530.312
CEP52_000129-T1_mrna	gene-CEP52_000129	1551.298	1555.439	1551.43	1566.442	1555.267	1550.311	1553.799	1549.283	1553.9	1556.281	1555.005	1557.959	1558.984	1553.255	1563.819	1551.312
CEP52_000130-T1_mrna	gene-CEP52_000130	238.287	242.165	238.521	252.865	242.001	238.806	241.154	236.581	239.9	242.281	241.416	244.578	246.194	239.255	249.819	238.06
CEP52_000131-T1_mrna	gene-CEP52_000131	1806.298	1810.439	1806.43	1821.442	1810.267	1805.311	1808.799	1804.283	1808.9	1811.281	1810.005	1812.959	1813.984	1808.255	1818.819	1806.312
CEP52_000132-T1_mrna	gene-CEP52_000132	1005.298	1009.439	1005.43	1020.442	1009.267	1004.311	1007.799	1003.283	1007.9	1010.281	1009.005	1011.959	1012.984	1007.255	1017.819	1005.312
CEP52_000133-T1_mrna	gene-CEP52_000133	576.317	580.439	576.43	591.442	580.267	575.311	578.799	574.283	578.9	581.281	580.005	582.959	583.984	578.255	588.819	576.312
CEP52_000134-T1_mrna	gene-CEP52_000134	2085.298	2089.439	2085.43	2100.442	2089.267	2084.311	2087.799	2083.283	2087.9	2090.281	2089.005	2091.959	2092.984	2087.255	2097.819	2085.312
CEP52_000135-T1_mrna	gene-CEP52_000135	1512.298	1516.439	1512.43	1527.442	1516.267	1511.311	1514.799	1510.283	1514.9	1517.281	1516.005	1518.959	1519.984	1514.255	1524.819	1512.312
CEP52_000136-T1_mrna	gene-CEP52_000136	270.791	274.815	271.083	285.655	274.684	270.498	274.154	268.889	272.9	275.281	274.4	276.959	277.984	272.255	282.819	270.685
CEP52_000137-T1_mrna	gene-CEP52_000137	253.025	256.957	253.286	267.747	256.827	253.438	256.154	251.378	254.9	257.281	256.4	259.342	261.194	254.255	264.819	252.742
CEP52_000138-T1_mrna	gene-CEP52_000138	3735.298	3739.439	3735.43	3750.442	3739.267	3734.311	3737.799	3733.283	3737.9	3740.281	3739.005	3741.959	3742.984	3737.255	3747.819	3735.312
CEP52_000139-T1_mrna	gene-CEP52_000139	585.298	589.439	585.43	600.442	589.267	584.311	587.799	583.283	587.9	590.281	589.005	591.959	592.984	587.255	597.819	585.312
