tx	gene_id	Mycangia_BH1	Mycangia_BH2	Mycangia_BH3	Mycangia_BH4	Mycangia_BH5	Mycangia_EF1	Mycangia_EF2	Mycangia_EF3	Mycangia_EF4	Mycangia_EP1	Mycangia_EP2	Mycangia_EP3	Mycangia_EP4	Mycangia_LP2	Mycangia_LP3	Mycangia_LP4
CEP52_000020-T1_mrna	gene-CEP52_000020	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000021-T1_mrna	gene-CEP52_000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000022-T1_mrna	gene-CEP52_000022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000023-T1_mrna	gene-CEP52_000023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000024-T1_mrna	gene-CEP52_000024	4	14	3	0	0	1	0	0	0	0	0	0	0	0	0	1
CEP52_000025-T1_mrna	gene-CEP52_000025	2	8	8	3	2	0	0	1	0	0	0	0	0	0	0	1
CEP52_000026-T1_mrna	gene-CEP52_000026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000027-T1_mrna	gene-CEP52_000027	3	5	3	1	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000028-T1_mrna	gene-CEP52_000028	6	15	7	6	6	0	2	1	0	0	0	0	0	0	0	3
CEP52_000029-T1_mrna	gene-CEP52_000029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000030-T1_mrna	gene-CEP52_000030	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
CEP52_000031-T1_mrna	gene-CEP52_000031	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000032-T1_mrna	gene-CEP52_000032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000033-T1_mrna	gene-CEP52_000033	3	6	5	2	2	0	1	0	0	0	0	0	0	0	0	5
CEP52_000034-T1_mrna	gene-CEP52_000034	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000035-T1_mrna	gene-CEP52_000035	0	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000036-T1_mrna	gene-CEP52_000036	1	3	6	2	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000037-T1_mrna	gene-CEP52_000037	10	8	4	1	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000038-T1_mrna	gene-CEP52_000038	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000039-T1_mrna	gene-CEP52_000039	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000040-T1_mrna	gene-CEP52_000040	2	15	4	3	0	0	0	0	0	0	0	0	0	0	0	1
CEP52_000041-T1_mrna	gene-CEP52_000041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000042-T1_mrna	gene-CEP52_000042	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000043-T1_mrna	gene-CEP52_000043	0	12	4	0	3	0	0	0	0	0	0	0	0	0	0	1
CEP52_000044-T1_mrna	gene-CEP52_000044	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000045-T1_mrna	gene-CEP52_000045	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000046-T1_mrna	gene-CEP52_000046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000047-T1_mrna	gene-CEP52_000047	1	5	3	2	1	0	0	1	0	0	1	0	0	0	0	0
CEP52_000048-T1_mrna	gene-CEP52_000048	11	38	20	19	6	0	0	0	0	1	0	1	0	0	0	8
CEP52_000049-T1_mrna	gene-CEP52_000049	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000050-T1_mrna	gene-CEP52_000050	5	17	7	11	4	1	0	0	0	0	0	0	0	0	0	3
CEP52_000051-T1_mrna	gene-CEP52_000051	45	110	47	33	43	2	0	0	0	0	0	1	0	0	0	1
CEP52_000052-T1_mrna	gene-CEP52_000052	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000053-T1_mrna	gene-CEP52_000053	8	30	18	6	16	0	0	0	0	0	1	0	0	0	0	0
CEP52_000054-T1_mrna	gene-CEP52_000054	20	68	26	29	21	2	0	2	0	0	0	0	0	0	0	3
CEP52_000055-T1_mrna	gene-CEP52_000055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000056-T1_mrna	gene-CEP52_000056	1	3	1	3	3	0	0	0	0	0	0	0	0	0	0	0
CEP52_000057-T1_mrna	gene-CEP52_000057	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000058-T1_mrna	gene-CEP52_000058	0	3	2	1	1	1	0	0	0	0	1	1	0	0	0	1
CEP52_000059-T1_mrna	gene-CEP52_000059	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
CEP52_000060-T1_mrna	gene-CEP52_000060	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000061-T1_mrna	gene-CEP52_000061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000062-T1_mrna	gene-CEP52_000062	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000063-T1_mrna	gene-CEP52_000063	4	11	6	1	4	0	0	0	0	0	0	0	0	0	0	1
CEP52_000064-T1_mrna	gene-CEP52_000064	1	17	7	0	7	0	0	0	0	0	0	0	0	0	0	0
CEP52_000065-T1_mrna	gene-CEP52_000065	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000066-T1_mrna	gene-CEP52_000066	6	14	2	6	5	1	0	2	0	0	0	0	2	0	0	1
CEP52_000067-T1_mrna	gene-CEP52_000067	1	6	1	0	6	0	0	0	0	0	0	0	0	0	0	0
CEP52_000068-T1_mrna	gene-CEP52_000068	3	5	5	1	2	0	0	1	0	0	0	0	0	0	0	1
CEP52_000069-T1_mrna	gene-CEP52_000069	2	7	0	0	2	0	0	0	0	0	1	0	0	0	0	0
CEP52_000070-T1_mrna	gene-CEP52_000070	7	9	9	1	4	0	0	0	0	0	0	0	0	0	0	2
CEP52_000071-T1_mrna	gene-CEP52_000071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000072-T1_mrna	gene-CEP52_000072	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000073-T1_mrna	gene-CEP52_000073	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CEP52_000074-T1_mrna	gene-CEP52_000074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000075-T1_mrna	gene-CEP52_000075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000076-T1_mrna	gene-CEP52_000076	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CEP52_000077-T1_mrna	gene-CEP52_000077	3	17	9	5	5	0	0	0	0	0	0	0	0	0	0	1
CEP52_000078-T1_mrna	gene-CEP52_000078	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CEP52_000079-T1_mrna	gene-CEP52_000079	8	9	4	9	10	0	0	0	0	0	0	0	0	0	0	0
CEP52_000080-T1_mrna	gene-CEP52_000080	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000081-T1_mrna	gene-CEP52_000081	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CEP52_000082-T1_mrna	gene-CEP52_000082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000083-T1_mrna	gene-CEP52_000083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000084-T1_mrna	gene-CEP52_000084	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000085-T1_mrna	gene-CEP52_000085	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000086-T1_mrna	gene-CEP52_000086	13	10	8	3	8	1	0	4	0	1	0	0	0	0	0	1
CEP52_000087-T1_mrna	gene-CEP52_000087	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000088-T1_mrna	gene-CEP52_000088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000089-T1_mrna	gene-CEP52_000089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000090-T1_mrna	gene-CEP52_000090	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CEP52_000091-T1_mrna	gene-CEP52_000091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000092-T1_mrna	gene-CEP52_000092	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000093-T1_mrna	gene-CEP52_000093	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CEP52_000094-T1_mrna	gene-CEP52_000094	17	31	23	10	13	0	0	1	0	2	0	0	0	0	0	2
CEP52_000095-T1_mrna	gene-CEP52_000095	41	106	63	24	53	7	0	5	0	3	0	2	0	1	0	1
CEP52_000096-T1_mrna	gene-CEP52_000096	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000097-T1_mrna	gene-CEP52_000097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000098-T1_mrna	gene-CEP52_000098	7	12	8	6	7	1	0	0	0	0	0	0	0	0	0	1
CEP52_000099-T1_mrna	gene-CEP52_000099	0	19	6	3	9	0	0	0	0	0	0	0	0	0	0	0
CEP52_000100-T1_mrna	gene-CEP52_000100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000101-T1_mrna	gene-CEP52_000101	6	8	7	5	0	1	0	0	0	0	0	0	0	0	0	3
CEP52_000102-T1_mrna	gene-CEP52_000102	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000103-T1_mrna	gene-CEP52_000103	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000104-T1_mrna	gene-CEP52_000104	3	21	6	2	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000105-T1_mrna	gene-CEP52_000105	1	9	0	1	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000106-T1_mrna	gene-CEP52_000106	2	4	1	5	4	0	0	0	0	0	0	0	0	0	0	0
CEP52_000107-T1_mrna	gene-CEP52_000107	2	4	3	6	0	0	0	0	0	0	0	1	0	0	0	1
CEP52_000108-T1_mrna	gene-CEP52_000108	3	14	2	1	4	0	0	0	0	0	0	0	0	0	0	0
CEP52_000109-T1_mrna	gene-CEP52_000109	3	13	5	0	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000110-T1_mrna	gene-CEP52_000110	2	21	4	1	1	0	0	1	0	0	1	0	0	0	0	0
CEP52_000111-T1_mrna	gene-CEP52_000111	9	17	8	7	4	0	0	0	0	0	0	0	0	0	0	0
CEP52_000112-T1_mrna	gene-CEP52_000112	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000113-T1_mrna	gene-CEP52_000113	9	24	6	10	1	0	0	0	0	0	1	0	0	0	0	2
CEP52_000114-T1_mrna	gene-CEP52_000114	8	19	14	8	15	2	0	0	0	0	0	0	0	0	0	0
CEP52_000115-T1_mrna	gene-CEP52_000115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000116-T1_mrna	gene-CEP52_000116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000117-T1_mrna	gene-CEP52_000117	13	30	10	6	10	1	0	0	0	0	0	1	1	0	0	0
CEP52_000118-T1_mrna	gene-CEP52_000118	0	3	2	1	3	0	0	0	0	0	0	0	0	0	0	1
CEP52_000119-T1_mrna	gene-CEP52_000119	6	35	17	9	9	1	0	0	0	0	0	1	0	0	0	1
CEP52_000120-T1_mrna	gene-CEP52_000120	7	13	9	3	6	0	0	0	0	0	0	2	0	0	0	0
CEP52_000121-T1_mrna	gene-CEP52_000121	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
CEP52_000122-T1_mrna	gene-CEP52_000122	0	2	3	0	1	0	0	0	0	0	2	1	0	0	0	3
CEP52_000123-T1_mrna	gene-CEP52_000123	41	147	67	31	49	0	1	4	0	2	0	2	0	0	0	7
CEP52_000124-T1_mrna	gene-CEP52_000124	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000125-T1_mrna	gene-CEP52_000125	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000126-T1_mrna	gene-CEP52_000126	3	6	4	3	0	0	0	0	0	0	0	0	0	1	0	2
CEP52_000127-T1_mrna	gene-CEP52_000127	47	141	101	88	94	10	0	5	0	1	0	0	0	0	0	2
CEP52_000128-T1_mrna	gene-CEP52_000128	23	60	22	17	21	1	0	0	0	0	0	0	0	3	0	1
CEP52_000129-T1_mrna	gene-CEP52_000129	61	105	37	22	34	0	0	0	0	0	0	0	0	0	0	5
CEP52_000130-T1_mrna	gene-CEP52_000130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000131-T1_mrna	gene-CEP52_000131	3	25	19	1	7	2	0	0	0	0	0	0	0	0	0	3
CEP52_000132-T1_mrna	gene-CEP52_000132	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CEP52_000133-T1_mrna	gene-CEP52_000133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000134-T1_mrna	gene-CEP52_000134	7	12	11	7	5	1	0	0	0	0	1	0	0	0	0	0
CEP52_000135-T1_mrna	gene-CEP52_000135	3	8	3	2	4	0	0	0	0	0	0	0	0	0	0	0
CEP52_000136-T1_mrna	gene-CEP52_000136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000137-T1_mrna	gene-CEP52_000137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000138-T1_mrna	gene-CEP52_000138	18	57	50	5	14	8	0	0	1	0	0	0	1	0	0	1
CEP52_000139-T1_mrna	gene-CEP52_000139	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CEP52_000140-T1_mrna	gene-CEP52_000140	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000141-T1_mrna	gene-CEP52_000141	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000142-T1_mrna	gene-CEP52_000142	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
CEP52_000143-T1_mrna	gene-CEP52_000143	1	7	2	1	3	0	0	0	0	0	1	0	0	0	0	0
CEP52_000145-T1_mrna	gene-CEP52_000145	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000146-T1_mrna	gene-CEP52_000146	2	3	5	2	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000147-T1_mrna	gene-CEP52_000147	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000148-T1_mrna	gene-CEP52_000148	13	39	25	10	11	0	0	0	0	0	0	0	0	0	0	3
CEP52_000149-T1_mrna	gene-CEP52_000149	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000150-T1_mrna	gene-CEP52_000150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000151-T1_mrna	gene-CEP52_000151	7	26	11	7	11	2	0	0	0	0	0	1	0	0	0	2
CEP52_000152-T1_mrna	gene-CEP52_000152	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000153-T1_mrna	gene-CEP52_000153	1	8	6	1	0	1	0	0	0	0	0	0	0	0	0	0
CEP52_000154-T1_mrna	gene-CEP52_000154	1	14	6	3	10	0	0	0	0	0	0	0	0	0	0	1
CEP52_000155-T1_mrna	gene-CEP52_000155	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000156-T1_mrna	gene-CEP52_000156	8	17	8	1	3	0	0	0	0	0	0	0	0	0	0	0
CEP52_000157-T1_mrna	gene-CEP52_000157	99	203	74	74	56	1	0	3	0	0	0	2	0	0	0	7
CEP52_000158-T1_mrna	gene-CEP52_000158	133	410	227	98	150	5	0	5	0	1	1	6	3	0	0	30
CEP52_000159-T1_mrna	gene-CEP52_000159	2	4	2	5	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000160-T1_mrna	gene-CEP52_000160	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000161-T1_mrna	gene-CEP52_000161	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000162-T1_mrna	gene-CEP52_000162	3	3	6	0	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000163-T1_mrna	gene-CEP52_000163	2	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000164-T1_mrna	gene-CEP52_000164	2	5	7	2	4	0	0	1	0	0	1	0	0	0	0	0
CEP52_000165-T1_mrna	gene-CEP52_000165	0	10	14	6	5	0	0	0	0	0	0	0	0	0	0	0
CEP52_000166-T1_mrna	gene-CEP52_000166	1	6	3	0	1	1	0	1	0	0	0	0	0	0	0	2
CEP52_000167-T1_mrna	gene-CEP52_000167	31	115	54	23	36	2	2	4	0	0	1	6	0	0	0	7
CEP52_000168-T1_mrna	gene-CEP52_000168	2	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000169-T1_mrna	gene-CEP52_000169	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000170-T1_mrna	gene-CEP52_000170	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000173-T1_mrna	gene-CEP52_000173	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000174-T1_mrna	gene-CEP52_000174	8	25	22	9	19	0	0	0	0	0	0	0	0	0	0	1
CEP52_000175-T1_mrna	gene-CEP52_000175	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000176-T1_mrna	gene-CEP52_000176	0	1	5	1	2	0	0	0	0	0	0	0	0	0	0	1
CEP52_000177-T1_mrna	gene-CEP52_000177	0	7	2	1	7	0	0	0	0	0	0	1	1	0	0	0
CEP52_000178-T1_mrna	gene-CEP52_000178	1	3	3	5	0	0	0	0	0	0	0	1	0	0	0	0
CEP52_000179-T1_mrna	gene-CEP52_000179	24	42	16	18	17	0	0	0	0	0	1	0	0	0	0	2
CEP52_000180-T1_mrna	gene-CEP52_000180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000181-T1_mrna	gene-CEP52_000181	5	18	1	0	2	0	0	0	0	0	0	0	0	0	0	1
CEP52_000182-T1_mrna	gene-CEP52_000182	8	35	15	12	15	0	0	2	0	1	0	0	0	0	0	2
CEP52_000183-T1_mrna	gene-CEP52_000183	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000184-T1_mrna	gene-CEP52_000184	2	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000185-T1_mrna	gene-CEP52_000185	2	10	11	1	1	0	0	0	0	0	0	0	1	0	0	0
CEP52_000186-T1_mrna	gene-CEP52_000186	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000187-T1_mrna	gene-CEP52_000187	31	57	31	9	19	1	2	5	0	0	1	2	0	0	0	8
CEP52_000188-T1_mrna	gene-CEP52_000188	8	18	5	1	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000189-T1_mrna	gene-CEP52_000189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000190-T1_mrna	gene-CEP52_000190	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
CEP52_000191-T1_mrna	gene-CEP52_000191	3	18	25	6	6	0	0	0	0	0	0	0	0	0	0	0
CEP52_000192-T1_mrna	gene-CEP52_000192	2	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000193-T1_mrna	gene-CEP52_000193	3	7	10	6	11	0	0	0	0	0	0	0	0	0	0	1
CEP52_000194-T1_mrna	gene-CEP52_000194	0	1	5	2	0	0	0	0	0	0	0	2	0	0	0	1
CEP52_000195-T1_mrna	gene-CEP52_000195	31	47	22	27	27	0	0	0	0	1	1	0	0	0	0	1
CEP52_000196-T1_mrna	gene-CEP52_000196	1	2	5	0	0	1	0	0	0	0	1	0	0	0	0	0
CEP52_000197-T1_mrna	gene-CEP52_000197	10	31	4	9	9	0	0	1	0	0	2	0	0	0	0	2
CEP52_000198-T1_mrna	gene-CEP52_000198	4	4	2	1	3	0	0	0	0	0	0	0	0	0	0	0
CEP52_000199-T1_mrna	gene-CEP52_000199	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000200-T1_mrna	gene-CEP52_000200	7	21	17	7	13	1	1	0	0	0	1	0	0	0	0	0
CEP52_000201-T1_mrna	gene-CEP52_000201	2	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0
CEP52_000202-T1_mrna	gene-CEP52_000202	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CEP52_000203-T1_mrna	gene-CEP52_000203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000204-T1_mrna	gene-CEP52_000204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000205-T1_mrna	gene-CEP52_000205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000206-T1_mrna	gene-CEP52_000206	3	12	3	1	1	1	0	0	0	0	0	0	0	0	0	1
CEP52_000207-T1_mrna	gene-CEP52_000207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000208-T1_mrna	gene-CEP52_000208	2	1	0	6	0	0	0	0	0	0	0	0	0	0	0	1
CEP52_000209-T1_mrna	gene-CEP52_000209	0	3	1	0	3	0	0	0	0	0	1	0	0	0	0	0
CEP52_000210-T1_mrna	gene-CEP52_000210	12	14	9	11	10	2	0	0	0	0	1	0	0	0	0	1
CEP52_000211-T1_mrna	gene-CEP52_000211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000212-T1_mrna	gene-CEP52_000212	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CEP52_000213-T1_mrna	gene-CEP52_000213	15	31	16	3	7	1	0	0	0	0	0	0	0	0	0	3
CEP52_000214-T1_mrna	gene-CEP52_000214	7	15	6	1	5	0	0	0	0	0	0	0	0	0	0	3
CEP52_000215-T1_mrna	gene-CEP52_000215	2	9	6	5	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000216-T1_mrna	gene-CEP52_000216	5	3	2	0	4	0	0	0	0	0	0	0	0	0	0	1
CEP52_000217-T1_mrna	gene-CEP52_000217	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1
CEP52_000218-T1_mrna	gene-CEP52_000218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000219-T1_mrna	gene-CEP52_000219	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CEP52_000220-T1_mrna	gene-CEP52_000220	14	38	21	7	4	0	0	0	0	0	1	1	0	0	0	3
CEP52_000221-T1_mrna	gene-CEP52_000221	5	3	11	2	2	0	0	2	0	0	0	1	0	0	0	0
CEP52_000222-T1_mrna	gene-CEP52_000222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000223-T1_mrna	gene-CEP52_000223	2	11	3	2	4	1	0	0	0	1	0	1	0	0	0	0
CEP52_000224-T1_mrna	gene-CEP52_000224	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000225-T1_mrna	gene-CEP52_000225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000226-T1_mrna	gene-CEP52_000226	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000227-T1_mrna	gene-CEP52_000227	1	1	7	1	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000228-T1_mrna	gene-CEP52_000228	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CEP52_000229-T1_mrna	gene-CEP52_000229	69	99	41	21	37	0	0	0	0	0	0	0	0	0	0	2
CEP52_000230-T1_mrna	gene-CEP52_000230	8	25	9	5	9	0	0	0	0	0	0	1	0	0	0	5
CEP52_000231-T1_mrna	gene-CEP52_000231	2	13	7	0	4	0	0	1	0	0	0	0	0	0	0	0
CEP52_000232-T1_mrna	gene-CEP52_000232	155	390	136	85	82	3	0	1	0	0	0	1	1	0	0	13
CEP52_000233-T1_mrna	gene-CEP52_000233	9	8	7	6	2	0	0	0	1	0	0	0	0	0	0	0
CEP52_000234-T1_mrna	gene-CEP52_000234	3	13	3	3	3	0	0	0	0	0	0	0	0	0	0	0
CEP52_000235-T1_mrna	gene-CEP52_000235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000236-T1_mrna	gene-CEP52_000236	0	2	7	5	3	1	0	3	0	0	0	0	0	0	0	0
CEP52_000237-T1_mrna	gene-CEP52_000237	11	39	1	27	1	0	0	0	0	0	0	0	0	0	0	2
CEP52_000238-T1_mrna	gene-CEP52_000238	1	10	7	0	0	0	0	0	0	0	0	0	0	0	0	1
