RTE85386.1	BHE90_000001
RTE85364.1	BHE90_000182
RTE85365.1	BHE90_000183
RTE85362.1	BHE90_000184
RTE85363.1	BHE90_000185
RTE85360.1	BHE90_000186
RTE85361.1	BHE90_000187
RTE85260.1	BHE90_000188
RTE85359.1	BHE90_000189
RTE85263.1	BHE90_000190
RTE85262.1	BHE90_000191
RTE85265.1	BHE90_000192
RTE85264.1	BHE90_000193
RTE85267.1	BHE90_000194
RTE85266.1	BHE90_000195
RTE85269.1	BHE90_000196
RTE85268.1	BHE90_000197
RTE84028.1	BHE90_001335
RTE83982.1	BHE90_001336
RTE83983.1	BHE90_001337
RTE83981.1	BHE90_001338
RTE84027.1	BHE90_001339
RTE84067.1	BHE90_001340
RTE84066.1	BHE90_001341
RTE84065.1	BHE90_001342
RTE84064.1	BHE90_001343
RTE84071.1	BHE90_001344
RTE84070.1	BHE90_001345
RTE84069.1	BHE90_001346
RTE84068.1	BHE90_001347
RTE84073.1	BHE90_001348
RTE84072.1	BHE90_001349
RTE83989.1	BHE90_001350
RTE83990.1	BHE90_001351
RTE83991.1	BHE90_001352
RTE83992.1	BHE90_001355
RTE83993.1	BHE90_001356
RTE83994.1	BHE90_001357
RTE83995.1	BHE90_001358
RTE83996.1	BHE90_001359
RTE84077.1	BHE90_001360
RTE84076.1	BHE90_001361
RTE84079.1	BHE90_001362
RTE84078.1	BHE90_001363
RTE84081.1	BHE90_001364
RTE84080.1	BHE90_001365
RTE84083.1	BHE90_001366
RTE84082.1	BHE90_001367
RTE84075.1	BHE90_001368
RTE84074.1	BHE90_001369
RTE84005.1	BHE90_001370
RTE84006.1	BHE90_001371
RTE84003.1	BHE90_001372
RTE84004.1	BHE90_001373
RTE84001.1	BHE90_001374
RTE84002.1	BHE90_001375
RTE83999.1	BHE90_001376
RTE84000.1	BHE90_001377
RTE83997.1	BHE90_001378
RTE83998.1	BHE90_001379
RTE84092.1	BHE90_001380
RTE84091.1	BHE90_001381
RTE84090.1	BHE90_001382
RTE84089.1	BHE90_001383
RTE84088.1	BHE90_001384
RTE84087.1	BHE90_001385
RTE84086.1	BHE90_001386
RTE84085.1	BHE90_001387
RTE84094.1	BHE90_001388
RTE84093.1	BHE90_001389
RTE84011.1	BHE90_001390
RTE84012.1	BHE90_001391
RTE84013.1	BHE90_001392
RTE84014.1	BHE90_001393
RTE84007.1	BHE90_001394
RTE84008.1	BHE90_001395
RTE84009.1	BHE90_001396
RTE84010.1	BHE90_001397
RTE84015.1	BHE90_001398
RTE84016.1	BHE90_001399
RTE84057.1	BHE90_001400
RTE84058.1	BHE90_001401
RTE84059.1	BHE90_001402
RTE84060.1	BHE90_001403
RTE84111.1	BHE90_001404
RTE84084.1	BHE90_001405
RTE84024.1	BHE90_001406
RTE84061.1	BHE90_001407
RTE84062.1	BHE90_001408
RTE84063.1	BHE90_001409
RTE84032.1	BHE90_001410
RTE84031.1	BHE90_001411
RTE84030.1	BHE90_001412
RTE84029.1	BHE90_001413
RTE84036.1	BHE90_001414
RTE84035.1	BHE90_001415
RTE84034.1	BHE90_001416
RTE84033.1	BHE90_001417
RTE84038.1	BHE90_001418
RTE84037.1	BHE90_001419
RTE84109.1	BHE90_001420
RTE84110.1	BHE90_001421
RTE84107.1	BHE90_001422
RTE84108.1	BHE90_001423
RTE84105.1	BHE90_001424
RTE84106.1	BHE90_001425
RTE84103.1	BHE90_001426
RTE84104.1	BHE90_001427
RTE84101.1	BHE90_001428
RTE84102.1	BHE90_001429
RTE84050.1	BHE90_001430
RTE84049.1	BHE90_001431
RTE84052.1	BHE90_001432
RTE84051.1	BHE90_001433
RTE84054.1	BHE90_001434
RTE84053.1	BHE90_001435
RTE84056.1	BHE90_001436
RTE84055.1	BHE90_001437
RTE84048.1	BHE90_001438
RTE84047.1	BHE90_001439
RTE83985.1	BHE90_001440
RTE83986.1	BHE90_001441
RTE83987.1	BHE90_001442
RTE83988.1	BHE90_001443
RTE84097.1	BHE90_001444
RTE83984.1	BHE90_001445
RTE84098.1	BHE90_001446
RTE84099.1	BHE90_001447
RTE84095.1	BHE90_001448
RTE84096.1	BHE90_001449
RTE84023.1	BHE90_001450
RTE84022.1	BHE90_001451
RTE84026.1	BHE90_001452
RTE84100.1	BHE90_001453
RTE84025.1	BHE90_001454
RTE84021.1	BHE90_001455
RTE84020.1	BHE90_001456
RTE84019.1	BHE90_001457
RTE84018.1	BHE90_001458
RTE84017.1	BHE90_001459
RTE84041.1	BHE90_001460
RTE84042.1	BHE90_001461
RTE84040.1	BHE90_001462
RTE84045.1	BHE90_001464
RTE84046.1	BHE90_001465
RTE84043.1	BHE90_001466
RTE84044.1	BHE90_001467
RTE84039.1	BHE90_001468
RTE78295.1	BHE90_007191
RTE78296.1	BHE90_007192
RTE78297.1	BHE90_007193
RTE78291.1	BHE90_007194
RTE78292.1	BHE90_007195
RTE78293.1	BHE90_007196
RTE78294.1	BHE90_007197
RTE78298.1	BHE90_007198
RTE78299.1	BHE90_007199
RTE78325.1	BHE90_007200
RTE78326.1	BHE90_007201
RTE78300.1	BHE90_007202
RTE78327.1	BHE90_007203
RTE78322.1	BHE90_007204
RTE78323.1	BHE90_007205
RTE78290.1	BHE90_007206
RTE78324.1	BHE90_007207
RTE78301.1	BHE90_007208
RTE78302.1	BHE90_007209
RTE78310.1	BHE90_007210
RTE78309.1	BHE90_007211
RTE78308.1	BHE90_007212
RTE78307.1	BHE90_007213
RTE78306.1	BHE90_007214
RTE78305.1	BHE90_007215
RTE78304.1	BHE90_007216
RTE78303.1	BHE90_007217
RTE78289.1	BHE90_007218
RTE78288.1	BHE90_007219
RTE78313.1	BHE90_007220
RTE78314.1	BHE90_007221
RTE78311.1	BHE90_007222
RTE78312.1	BHE90_007223
RTE78316.1	BHE90_007224
RTE78317.1	BHE90_007225
RTE78315.1	BHE90_007226
RTE78286.1	BHE90_007228
RTE78318.1	BHE90_007229
RTE78320.1	BHE90_007230
RTE78319.1	BHE90_007231
RTE78321.1	BHE90_007232
RTE78287.1	BHE90_007233
RTE68253.1	BHE90_017370
RTE68252.1	BHE90_017371
RTE68251.1	BHE90_017372
RTE68249.1	BHE90_017373
RTE68250.1	BHE90_017374
RTE68246.1	BHE90_017375
RTE68248.1	BHE90_017376
RTE68247.1	BHE90_017377
RTE68245.1	BHE90_017378
RTE68244.1	BHE90_017379
RTE68242.1	BHE90_017380
RTE68243.1	BHE90_017381
RTE68241.1	BHE90_017382
RTE78274.1	BHE90_007234
RTE78273.1	BHE90_007235
RTE78276.1	BHE90_007236
RTE78275.1	BHE90_007237
RTE78272.1	BHE90_007238
RTE78271.1	BHE90_007239
RTE78279.1	BHE90_007240
RTE78280.1	BHE90_007241
RTE78281.1	BHE90_007242
RTE78282.1	BHE90_007243
RTE78283.1	BHE90_007244
RTE78284.1	BHE90_007245
RTE78270.1	BHE90_007246
RTE78285.1	BHE90_007247
RTE78277.1	BHE90_007248
RTE78278.1	BHE90_007249
RTE78251.1	BHE90_007250
RTE78250.1	BHE90_007251
RTE78249.1	BHE90_007252
RTE78248.1	BHE90_007253
RTE78255.1	BHE90_007254
RTE78254.1	BHE90_007255
RTE78253.1	BHE90_007256
RTE78252.1	BHE90_007257
RTE78247.1	BHE90_007258
RTE78246.1	BHE90_007259
RTE78267.1	BHE90_007260
RTE78268.1	BHE90_007261
RTE78260.1	BHE90_007262
RTE78261.1	BHE90_007263
RTE78258.1	BHE90_007264
RTE78259.1	BHE90_007265
RTE78256.1	BHE90_007266
RTE78257.1	BHE90_007267
RTE78262.1	BHE90_007268
RTE78269.1	BHE90_007269
RTE78265.1	BHE90_007270
RTE78266.1	BHE90_007272
RTE78263.1	BHE90_007273
RTE78264.1	BHE90_007274
RTE68240.1	BHE90_017383
RTE68239.1	BHE90_017384
RTE68236.1	BHE90_017385
RTE68237.1	BHE90_017386
RTE68238.1	BHE90_017387
RTE68235.1	BHE90_017388
RTE68234.1	BHE90_017389
RTE68233.1	BHE90_017390
RTE68232.1	BHE90_017391
RTE68231.1	BHE90_017392
RTE68230.1	BHE90_017393
RTE68228.1	BHE90_017394
RTE68229.1	BHE90_017395
RTE68227.1	BHE90_017396
RTE68226.1	BHE90_017397
RTE68225.1	BHE90_017398
RTE78203.1	BHE90_007275
RTE78204.1	BHE90_007276
RTE78206.1	BHE90_007277
RTE78225.1	BHE90_007278
RTE78205.1	BHE90_007279
RTE78213.1	BHE90_007280
RTE78214.1	BHE90_007281
RTE78215.1	BHE90_007282
RTE78216.1	BHE90_007283
RTE78209.1	BHE90_007284
RTE78210.1	BHE90_007285
RTE78211.1	BHE90_007286
RTE78212.1	BHE90_007287
RTE78207.1	BHE90_007288
RTE78208.1	BHE90_007289
RTE78245.1	BHE90_007290
RTE78244.1	BHE90_007291
RTE78243.1	BHE90_007292
RTE78242.1	BHE90_007293
RTE78241.1	BHE90_007294
RTE78240.1	BHE90_007295
RTE78239.1	BHE90_007296
RTE78238.1	BHE90_007297
RTE78237.1	BHE90_007298
RTE78236.1	BHE90_007299
RTE78233.1	BHE90_007300
RTE78232.1	BHE90_007301
RTE78235.1	BHE90_007302
RTE78234.1	BHE90_007303
RTE78229.1	BHE90_007304
RTE78228.1	BHE90_007305
RTE78231.1	BHE90_007306
RTE78230.1	BHE90_007307
RTE78227.1	BHE90_007308
RTE78226.1	BHE90_007309
RTE78219.1	BHE90_007310
RTE78220.1	BHE90_007311
RTE78217.1	BHE90_007312
RTE78218.1	BHE90_007313
RTE78223.1	BHE90_007314
RTE78224.1	BHE90_007315
RTE78221.1	BHE90_007316
RTE78222.1	BHE90_007317
RTE68223.1	BHE90_017399
RTE68224.1	BHE90_017400
RTE68222.1	BHE90_017401
RTE68221.1	BHE90_017402
RTE68220.1	BHE90_017403
RTE68219.1	BHE90_017404
RTE68218.1	BHE90_017405
RTE68217.1	BHE90_017406
RTE68216.1	BHE90_017407
RTE68215.1	BHE90_017408
RTE68214.1	BHE90_017409
RTE78179.1	BHE90_007318
RTE78180.1	BHE90_007319
RTE78197.1	BHE90_007320
RTE78199.1	BHE90_007321
RTE78196.1	BHE90_007322
RTE78195.1	BHE90_007323
RTE78194.1	BHE90_007324
RTE78193.1	BHE90_007325
RTE78192.1	BHE90_007326
RTE78191.1	BHE90_007327
RTE78201.1	BHE90_007328
RTE78200.1	BHE90_007329
RTE78185.1	BHE90_007330
RTE78186.1	BHE90_007331
RTE78187.1	BHE90_007332
RTE78188.1	BHE90_007333
RTE78181.1	BHE90_007334
RTE78182.1	BHE90_007335
RTE78183.1	BHE90_007336
RTE78184.1	BHE90_007337
RTE78189.1	BHE90_007338
RTE78190.1	BHE90_007339
RTE78174.1	BHE90_007340
RTE78173.1	BHE90_007341
RTE78198.1	BHE90_007342
RTE78171.1	BHE90_007343
RTE78176.1	BHE90_007344
RTE78175.1	BHE90_007345
RTE78178.1	BHE90_007346
RTE78177.1	BHE90_007347
RTE78172.1	BHE90_007348
RTE78202.1	BHE90_007349
RTE78169.1	BHE90_007350
RTE78170.1	BHE90_007351
RTE78167.1	BHE90_007352
RTE78168.1	BHE90_007353
RTE78166.1	BHE90_007354
RTE68212.1	BHE90_017410
RTE68213.1	BHE90_017411
RTE68211.1	BHE90_017412
RTE68210.1	BHE90_017413
RTE68208.1	BHE90_017414
RTE68209.1	BHE90_017415
RTE68206.1	BHE90_017416
RTE68207.1	BHE90_017417
RTE68205.1	BHE90_017418
RTE68203.1	BHE90_017419
RTE68204.1	BHE90_017420
RTE68202.1	BHE90_017421
RTE68200.1	BHE90_017422
RTE68201.1	BHE90_017423
RTE78138.1	BHE90_007355
RTE78136.1	BHE90_007356
RTE78137.1	BHE90_007357
RTE78139.1	BHE90_007358
RTE78140.1	BHE90_007359
RTE78143.1	BHE90_007360
RTE78153.1	BHE90_007361
RTE78144.1	BHE90_007362
RTE78152.1	BHE90_007363
RTE78157.1	BHE90_007364
RTE78156.1	BHE90_007365
RTE78155.1	BHE90_007366
RTE78154.1	BHE90_007367
RTE78135.1	BHE90_007368
RTE78134.1	BHE90_007369
RTE78160.1	BHE90_007370
RTE78161.1	BHE90_007371
RTE78162.1	BHE90_007372
RTE78163.1	BHE90_007373
RTE78164.1	BHE90_007374
RTE78165.1	BHE90_007375
RTE78141.1	BHE90_007376
RTE78142.1	BHE90_007377
RTE78158.1	BHE90_007378
RTE78159.1	BHE90_007379
RTE78149.1	BHE90_007380
RTE78148.1	BHE90_007381
RTE78151.1	BHE90_007382
RTE78150.1	BHE90_007383
RTE78146.1	BHE90_007384
RTE78145.1	BHE90_007385
RTE78147.1	BHE90_007386
RTE68199.1	BHE90_017424
RTE68198.1	BHE90_017425
RTE68197.1	BHE90_017426
RTE68196.1	BHE90_017427
RTE68195.1	BHE90_017428
RTE68194.1	BHE90_017429
RTE78118.1	BHE90_007387
RTE78120.1	BHE90_007388
RTE78119.1	BHE90_007389
RTE78097.1	BHE90_007390
RTE78098.1	BHE90_007391
RTE78095.1	BHE90_007392
RTE78096.1	BHE90_007393
RTE78101.1	BHE90_007394
RTE78133.1	BHE90_007395
RTE78099.1	BHE90_007396
RTE78100.1	BHE90_007397
RTE78093.1	BHE90_007398
RTE78094.1	BHE90_007399
RTE78106.1	BHE90_007400
RTE78086.1	BHE90_007401
RTE78104.1	BHE90_007402
RTE78105.1	BHE90_007403
RTE78109.1	BHE90_007404
RTE78110.1	BHE90_007405
RTE78107.1	BHE90_007406
RTE78108.1	BHE90_007407
RTE78112.1	BHE90_007408
RTE78111.1	BHE90_007409
RTE78130.1	BHE90_007410
RTE78129.1	BHE90_007411
RTE78132.1	BHE90_007412
RTE78131.1	BHE90_007413
RTE78126.1	BHE90_007414
RTE78125.1	BHE90_007415
RTE78128.1	BHE90_007416
RTE78127.1	BHE90_007417
RTE78124.1	BHE90_007418
RTE78123.1	BHE90_007419
RTE78090.1	BHE90_007420
RTE78091.1	BHE90_007421
RTE78092.1	BHE90_007422
RTE78122.1	BHE90_007423
RTE78121.1	BHE90_007424
RTE78087.1	BHE90_007425
RTE78088.1	BHE90_007426
RTE78089.1	BHE90_007427
RTE78102.1	BHE90_007428
RTE78103.1	BHE90_007429
RTE78117.1	BHE90_007430
RTE78116.1	BHE90_007431
RTE78115.1	BHE90_007432
RTE78114.1	BHE90_007433
RTE78113.1	BHE90_007434
RTE68193.1	BHE90_017430
RTE68192.1	BHE90_017431
RTE68191.1	BHE90_017432
RTE68190.1	BHE90_017433
RTE68188.1	BHE90_017434
RTE68189.1	BHE90_017435
RTE68187.1	BHE90_017436
RTE78073.1	BHE90_007435
RTE78072.1	BHE90_007436
RTE78071.1	BHE90_007437
RTE78052.1	BHE90_007438
RTE78051.1	BHE90_007439
RTE78067.1	BHE90_007440
RTE78068.1	BHE90_007441
RTE78065.1	BHE90_007442
RTE78066.1	BHE90_007443
RTE78063.1	BHE90_007444
RTE78064.1	BHE90_007445
RTE78049.1	BHE90_007446
RTE78050.1	BHE90_007447
RTE78076.1	BHE90_007448
RTE78077.1	BHE90_007449
RTE78070.1	BHE90_007450
RTE78069.1	BHE90_007451
RTE78079.1	BHE90_007452
RTE78078.1	BHE90_007453
RTE78081.1	BHE90_007454
RTE78080.1	BHE90_007455
RTE78083.1	BHE90_007456
RTE78082.1	BHE90_007457
RTE78085.1	BHE90_007458
RTE78084.1	BHE90_007459
RTE78055.1	BHE90_007460
RTE78056.1	BHE90_007461
RTE78057.1	BHE90_007462
RTE78058.1	BHE90_007463
RTE78059.1	BHE90_007464
RTE78060.1	BHE90_007465
RTE78061.1	BHE90_007466
RTE78062.1	BHE90_007467
RTE78053.1	BHE90_007468
RTE78054.1	BHE90_007469
RTE78075.1	BHE90_007470
RTE78074.1	BHE90_007471
RTE68185.1	BHE90_017437
RTE68186.1	BHE90_017438
RTE68184.1	BHE90_017439
RTE68182.1	BHE90_017440
RTE68183.1	BHE90_017441
RTE68181.1	BHE90_017442
RTE68180.1	BHE90_017443
RTE68179.1	BHE90_017444
RTE68178.1	BHE90_017445
RTE68177.1	BHE90_017446
RTE68176.1	BHE90_017447
RTE78040.1	BHE90_007472
RTE78039.1	BHE90_007473
RTE78044.1	BHE90_007474
RTE78043.1	BHE90_007475
RTE78042.1	BHE90_007476
RTE78041.1	BHE90_007477
RTE78048.1	BHE90_007478
RTE78047.1	BHE90_007479
RTE78022.1	BHE90_007480
RTE78023.1	BHE90_007481
RTE78020.1	BHE90_007482
RTE78021.1	BHE90_007483
RTE78024.1	BHE90_007484
RTE78025.1	BHE90_007485
RTE78018.1	BHE90_007486
RTE78019.1	BHE90_007487
RTE78016.1	BHE90_007488
RTE78017.1	BHE90_007489
RTE78036.1	BHE90_007490
RTE78035.1	BHE90_007491
RTE78038.1	BHE90_007492
RTE78037.1	BHE90_007493
RTE78029.1	BHE90_007494
RTE78032.1	BHE90_007495
RTE78034.1	BHE90_007496
RTE78033.1	BHE90_007497
RTE78046.1	BHE90_007498
RTE78045.1	BHE90_007499
RTE78011.1	BHE90_007500
RTE78026.1	BHE90_007501
RTE78010.1	BHE90_007502
RTE78009.1	BHE90_007503
RTE78015.1	BHE90_007504
RTE78014.1	BHE90_007505
RTE78013.1	BHE90_007506
RTE78012.1	BHE90_007507
RTE78028.1	BHE90_007508
RTE78027.1	BHE90_007509
RTE78004.1	BHE90_007510
RTE78005.1	BHE90_007511
RTE78030.1	BHE90_007512
RTE78031.1	BHE90_007513
RTE78006.1	BHE90_007514
RTE78007.1	BHE90_007515
RTE78008.1	BHE90_007516
RTE68175.1	BHE90_017448
RTE68173.1	BHE90_017449
RTE68174.1	BHE90_017450
RTE68172.1	BHE90_017451
RTE68171.1	BHE90_017452
RTE68170.1	BHE90_017453
RTE77976.1	BHE90_007517
RTE77995.1	BHE90_007518
RTE77988.1	BHE90_007519
RTE77990.1	BHE90_007520
RTE77989.1	BHE90_007521
RTE77969.1	BHE90_007522
RTE77966.1	BHE90_007523
RTE77992.1	BHE90_007524
RTE77991.1	BHE90_007525
RTE77994.1	BHE90_007526
RTE77993.1	BHE90_007527
RTE77968.1	BHE90_007528
RTE77967.1	BHE90_007529
RTE78002.1	BHE90_007530
RTE78003.1	BHE90_007531
RTE77979.1	BHE90_007532
RTE78001.1	BHE90_007533
RTE77977.1	BHE90_007534
RTE77978.1	BHE90_007535
RTE77999.1	BHE90_007536
RTE78000.1	BHE90_007537
RTE77998.1	BHE90_007538
RTE77985.1	BHE90_007539
RTE77984.1	BHE90_007540
RTE77983.1	BHE90_007541
RTE77982.1	BHE90_007542
RTE77981.1	BHE90_007543
RTE77973.1	BHE90_007544
RTE77972.1	BHE90_007545
RTE77971.1	BHE90_007546
RTE77970.1	BHE90_007547
RTE77975.1	BHE90_007548
RTE77974.1	BHE90_007549
RTE77996.1	BHE90_007550
RTE77997.1	BHE90_007551
RTE77986.1	BHE90_007552
RTE77987.1	BHE90_007553
RTE77980.1	BHE90_007554
RTE68169.1	BHE90_017454
RTE68168.1	BHE90_017455
RTE68167.1	BHE90_017456
RTE68166.1	BHE90_017457
RTE68165.1	BHE90_017458
RTE68163.1	BHE90_017459
RTE68164.1	BHE90_017460
RTE68162.1	BHE90_017461
RTE68161.1	BHE90_017462
RTE68160.1	BHE90_017463
RTE77920.1	BHE90_007555
RTE77921.1	BHE90_007556
RTE77922.1	BHE90_007557
RTE77951.1	BHE90_007558
RTE77952.1	BHE90_007559
RTE77948.1	BHE90_007560
RTE77947.1	BHE90_007561
RTE77950.1	BHE90_007562
RTE77949.1	BHE90_007563
RTE77944.1	BHE90_007564
RTE77943.1	BHE90_007565
RTE77946.1	BHE90_007566
RTE77945.1	BHE90_007567
RTE77942.1	BHE90_007568
RTE77941.1	BHE90_007569
RTE77939.1	BHE90_007570
RTE77940.1	BHE90_007571
RTE77923.1	BHE90_007572
RTE77924.1	BHE90_007573
RTE77927.1	BHE90_007574
RTE77928.1	BHE90_007575
RTE77925.1	BHE90_007576
RTE77926.1	BHE90_007577
RTE77918.1	BHE90_007578
RTE77919.1	BHE90_007579
RTE77932.1	BHE90_007580
RTE77931.1	BHE90_007581
RTE77930.1	BHE90_007582
RTE77929.1	BHE90_007583
RTE77936.1	BHE90_007584
RTE77935.1	BHE90_007585
RTE77934.1	BHE90_007586
RTE77933.1	BHE90_007587
RTE77938.1	BHE90_007588
RTE77937.1	BHE90_007589
RTE77953.1	BHE90_007590
RTE77958.1	BHE90_007591
RTE77954.1	BHE90_007592
RTE77959.1	BHE90_007593
RTE77955.1	BHE90_007594
RTE77956.1	BHE90_007595
RTE77960.1	BHE90_007596
RTE77957.1	BHE90_007597
RTE77964.1	BHE90_007598
RTE77965.1	BHE90_007599
RTE77961.1	BHE90_007600
RTE77962.1	BHE90_007601
RTE77963.1	BHE90_007602
RTE68159.1	BHE90_017464
RTE68158.1	BHE90_017465
RTE68157.1	BHE90_017466
RTE68156.1	BHE90_017467
RTE68155.1	BHE90_017468
RTE68154.1	BHE90_017469
RTE83883.1	BHE90_001469
RTE83898.1	BHE90_001470
RTE83897.1	BHE90_001471
RTE83941.1	BHE90_001472
RTE83899.1	BHE90_001473
RTE83894.1	BHE90_001474
RTE83893.1	BHE90_001475
RTE83896.1	BHE90_001476
RTE83895.1	BHE90_001477
RTE83901.1	BHE90_001478
RTE83900.1	BHE90_001479
RTE83968.1	BHE90_001480
RTE83969.1	BHE90_001481
RTE83970.1	BHE90_001482
RTE83971.1	BHE90_001483
RTE83972.1	BHE90_001484
RTE83973.1	BHE90_001485
RTE83974.1	BHE90_001486
RTE83975.1	BHE90_001487
RTE83966.1	BHE90_001488
RTE83967.1	BHE90_001489
RTE83909.1	BHE90_001490
RTE83908.1	BHE90_001491
RTE83907.1	BHE90_001492
RTE83906.1	BHE90_001493
RTE83913.1	BHE90_001494
RTE83912.1	BHE90_001495
RTE83911.1	BHE90_001496
RTE83910.1	BHE90_001497
RTE83905.1	BHE90_001498
RTE83904.1	BHE90_001499
RTE83949.1	BHE90_001501
RTE83951.1	BHE90_001502
RTE83950.1	BHE90_001503
RTE83953.1	BHE90_001504
RTE83952.1	BHE90_001505
RTE83955.1	BHE90_001506
