# Program:featureCounts v2.0.6; Command:"featureCounts" "-g" "gene_id" "-G" "alt_fungi/GCA_003957675.1_FeuwUCR1854v2_genomic.fna" "-s" "0" "-a" "alt_fungi/genes/GCA_003957675.1_FeuwUCR1854v2_genomic.fixed.gtf" "--tmpDir" "/scratch/jstajich/" "-o" "results/STAR_fungi_expression/Feuw_read_count.tsv" "-F" "GTF" "-T" "24" "-M" "results/STAR_fungi/Feuw_Mycangia_BH1Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_BH2Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_BH3Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_BH4Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_BH5Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EF1Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EF2Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EF3Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EF4Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EP1Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EP2Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EP3Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EP4Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_LP2Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_LP3Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_LP4Aligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/STAR_fungi/Feuw_Mycangia_BH1Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_BH2Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_BH3Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_BH4Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_BH5Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EF1Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EF2Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EF3Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EF4Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EP1Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EP2Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EP3Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EP4Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_LP2Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_LP3Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_LP4Aligned.out.bam
BHE90_000045	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	95832;95949;96123;96275;96445;97036;97359;97586;97834	95893;96068;96226;96391;96989;97309;97531;97772;98294	+;+;+;+;+;+;+;+;+	2043	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000046	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	99320;99371;99882;100382	99327;99806;100327;100559	-;-;-;-	1068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000047	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	101865;102144;102486;102955	102069;102425;102897;103384	+;+;+;+	1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000048	MIKF01000001.1;MIKF01000001.1	103641;104311	104263;104659	-;-	972	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BHE90_000049	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	106874;107550;107758	107494;107702;107886	-;-;-	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000050	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	108125;108501;108612;108781;108964	108441;108551;108727;108896;109668	-;-;-;-;-	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000051	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	110893;111145;111271	111075;111213;111333	-;-;-	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000052	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	111697;112385;112822;114037	112330;112611;113730;114084	+;+;+;+	1818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000053	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	114229;114986;115115;115376	114941;115058;115317;115523	-;-;-;-	1137	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000054	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	115970;116804;117118;117207	116750;117065;117156;117777	-;-;-;-	1653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000055	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	118170;118926;119246;119493;119968;120829;121295	118864;119197;119440;119900;120188;121240;122508	-;-;-;-;-;-;-	3417	0	6	0	4	2	0	0	0	0	0	0	0	0	0	0	0
BHE90_000056	MIKF01000001.1	123421	124209	+	789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000057	MIKF01000001.1;MIKF01000001.1	124847;125528	125473;125821	-;-	921	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000058	MIKF01000001.1	127445	127702	+	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000059	MIKF01000001.1;MIKF01000001.1	127730;129474	128929;129863	+;+	1590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000060	MIKF01000001.1	131423	134200	+	2778	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000061	MIKF01000001.1	134263	135237	-	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000062	MIKF01000001.1;MIKF01000001.1	135962;136630	136574;137132	-;-	1116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000063	MIKF01000001.1;MIKF01000001.1	138122;138770	138705;139724	-;-	1539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000064	MIKF01000001.1	141206	142075	+	870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000065	MIKF01000001.1	142132	142950	-	819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000066	MIKF01000001.1;MIKF01000001.1	143313;143427	143375;144128	-;-	765	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000067	MIKF01000001.1;MIKF01000001.1	144744;145065	145018;145647	+;+	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000068	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	145816;145871;146440;146846;148930	145820;146384;146773;148871;148990	-;-;-;-;-	2940	6	14	6	6	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000069	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	149425;149763;150629;152271;153282	149704;150579;152210;153205;155895	+;+;+;+;+	6228	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BHE90_000070	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	156369;156475;156874	156424;156824;157220	-;-;-	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
BHE90_000071	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	158245;158894;159034;159772	158837;158975;159719;159946	-;-;-;-	1536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000072	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	160347;160691;162857;163410;163550	160470;162803;163359;163491;164090	-;-;-;-;-	3363	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000073	MIKF01000001.1	164714	166390	-	1677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000074	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	167058;167644;167784;168145;168449	167580;167725;168064;168396;170703	+;+;+;+;+	3393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000075	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	171069;171519;171844;172119;172319	171467;171794;172066;172266;172379	-;-;-;-;-	1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
BHE90_000076	MIKF01000001.1	173722	174375	-	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000077	MIKF01000001.1;MIKF01000001.1	174607;174952	174825;175287	-;-	555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000078	MIKF01000001.1	176304	176735	+	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000079	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	177391;178048;179525;179968	177990;179470;179667;180426	-;-;-;-	2625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000080	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	180740;181324;181832;183988;184803	181019;181777;183929;184732;184930	+;+;+;+;+	3705	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000081	MIKF01000001.1	185721	186356	+	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000082	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	186628;186836;187158;187520;188793	186765;187107;187463;188728;189105	-;-;-;-;-	2238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000083	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	191354;191494;191590;191781;192303;192666;193055;193467	191437;191517;191711;192244;192601;193000;193408;193950	+;+;+;+;+;+;+;+	2166	8	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000084	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	195216;195359;195606;195759;195996;197316;198208	195300;195549;195706;195945;196688;198134;198246	+;+;+;+;+;+;+	2115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000085	MIKF01000001.1;MIKF01000001.1	202769;203321	203268;204509	+;+	1689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000086	MIKF01000001.1;MIKF01000001.1	204777;205125	205074;205435	-;-	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000087	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	206169;206509;207367	206459;207316;207482	+;+;+	1215	25	32	2	4	2	0	0	0	0	0	0	0	0	0	0	0
BHE90_000088	MIKF01000001.1;MIKF01000001.1	208630;209317	209261;210118	+;+	1434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000089	MIKF01000001.1;MIKF01000001.1	210733;210824	210775;211704	+;+	924	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BHE90_000090	MIKF01000001.1;MIKF01000001.1	211806;212560	212508;212699	-;-	843	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000091	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	213222;213417;214890	213365;214839;215062	+;+;+	1740	11	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0
BHE90_000092	MIKF01000001.1;MIKF01000001.1	216183;216446	216392;217549	+;+	1314	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
BHE90_000093	MIKF01000001.1	218991	220019	+	1029	95	115	49	38	27	0	0	0	0	0	0	0	0	0	0	0
BHE90_000094	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	220605;220812;220991;221168;221416;222009;222335;222558;222797	220693;220934;221112;221365;221960;222282;222510;222741;223281	+;+;+;+;+;+;+;+;+	2196	2	4	4	0	4	0	0	4	0	0	0	0	0	0	0	0
BHE90_000095	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	223586;224048;225039	223995;224991;225418	-;-;-	1734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000096	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	225701;226089;226419	226034;226369;226712	+;+;+	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000097	MIKF01000001.1	227232	228125	-	894	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000098	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	228998;229501;229717;230070	229430;229668;230020;230118	-;-;-;-	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000099	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	231143;232224;232808;232987	232171;232757;232929;233029	-;-;-;-	1728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000100	MIKF01000001.1	233541	234707	-	1167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000101	MIKF01000001.1	236312	238093	+	1782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000102	MIKF01000001.1	238190	238750	-	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000103	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	239066;240178;240591	240075;240512;240682	-;-;-	1437	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BHE90_000104	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	241138;241638;241879	241575;241832;242628	-;-;-	1383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000105	MIKF01000001.1;MIKF01000001.1	243388;244431	244381;245044	+;+	1608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000106	MIKF01000001.1;MIKF01000001.1	245138;247053	247004;247366	-;-	2181	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BHE90_000107	MIKF01000001.1	248728	249030	+	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000108	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	250041;250408;250570;250812;250994	250360;250514;250764;250946;252084	+;+;+;+;+	1848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000109	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	252902;253318;253668;253833;254141	253266;253613;253777;254086;255020	-;-;-;-;-	1905	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000110	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	255505;255787;256455;257040	255736;256390;256989;257210	+;+;+;+	1542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000111	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	257788;257971;258221;258424	257908;258166;258357;259133	+;+;+;+	1164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000112	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	260417;260717;261692	260669;261636;262612	+;+;+	2094	0	4	8	5	2	0	0	0	0	0	0	0	0	0	0	0
BHE90_000113	MIKF01000001.1	262709	264181	-	1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
